max-num-batched-tokens,max-num-seqs,swap-space,block-size,scheduler-delay-factor,gpu-memory-utilization,enable-chunked-prefill,enable-prefix-caching,disable-custom-all-reduce,use-v2-block-manager,latency_average,latency_p50,latency_p95,latency_p99,tokens_per_second_average,tokens_per_second_p50,tokens_per_second_p95,tokens_per_second_p99,time_to_first_token_average,time_to_first_token_p50,time_to_first_token_p95,time_to_first_token_p99,time_per_output_token_average,time_per_output_token_p50,time_per_output_token_p95,time_per_output_token_p99
6309,1940,6,32,1.5,0.77,False,True,False,False,2.339546443223953,2.3261865377426147,2.52819287776947,2.5423391771316526,21.395162950448835,21.4944071102958,19.776972459816488,19.66692888096584,0.259582337141037,0.2433065176010131,0.4852506518363952,0.4920599746704101,0.046790928864479,0.0465237307548522,0.0505638575553894,0.050846783542633
7858,1915,5,8,0.09,0.82,False,False,True,True,2.5579855370521547,2.573415994644165,2.6581817865371704,2.665921082496643,19.46043967499545,19.42658579890881,18.79060119757604,18.71353441429931,0.4350779151916504,0.458109974861145,0.5211529731750488,0.536471083164215,0.0514392029352131,0.0514758491516113,0.0532180950641632,0.0534372720196133
6050,1553,3,32,1.58,1.0,True,True,True,True,2.6289511919021606,2.6376328468322754,2.662333381175995,2.679483964443207,19.021435907540912,18.95639519257734,18.78058161225216,18.66051424032121,0.4889619827270507,0.5586237907409668,0.5630419254302979,0.5832781314849853,0.0525790238380432,0.0527526569366455,0.0532466676235199,0.0535896792888641
4922,569,7,8,1.38,0.72,True,True,False,True,3.1372042179107664,3.142345070838928,3.165946221351624,3.166935200691224,15.93870650335634,15.911688125476385,15.793066876462913,15.78813525727413,0.9418848276138304,0.9430609941482544,1.0286238074302674,1.0289570307731628,0.0627440843582153,0.0628469014167785,0.0633189244270324,0.0633387040138244
4217,1564,7,32,0.77,0.71,True,True,False,False,2.511888635158539,2.5212810039520264,2.5317031383514403,2.5495424556732176,19.90723288534248,19.83120334840575,19.74963087589157,19.611619289107004,0.4328570008277893,0.4308935403823852,0.4384822368621826,0.4534774684906005,0.0502377727031707,0.0504256200790405,0.0506340627670288,0.0509908491134643
7904,1971,4,16,1.73,0.86,True,True,True,False,2.500387597084045,2.5064398050308228,2.527560770511627,2.534708130359649,19.999185758523684,19.94861503239695,19.781931003626493,19.726178953331296,0.4359734535217285,0.4350262880325317,0.4427691102027893,0.4455097317695617,0.0500077519416809,0.0501287961006164,0.0505512154102325,0.0506941626071929
6870,615,1,16,0.78,0.79,False,True,False,False,2.2562147796154024,2.28544819355011,2.390378284454345,2.4140337753295897,22.20570193702388,21.87754688802562,20.91719136825895,20.712220577664144,0.2456990671157836,0.2283810377120971,0.4313495516777038,0.4348106122016906,0.045124295592308,0.0457089638710021,0.0478075656890869,0.0482806755065918
7991,1446,2,16,1.04,0.86,False,True,True,True,2.358842588663101,2.386314868927002,2.513915753364563,2.5164491391181945,21.100220244212025,20.951165945348578,19.88744022700783,19.78569458759127,0.2438969588279724,0.2326971292495727,0.4535863518714905,0.4594455242156982,0.0474670329562255,0.0477300405502319,0.0502829921245574,0.0505418737053871
5896,1689,3,8,1.27,0.91,False,True,False,True,2.393958157300949,2.371705412864685,2.8832571029663083,3.005046272277832,21.04069318065362,21.06606483422915,17.341502729103507,16.63868016249565,0.2984523928165435,0.2370991706848144,0.7082640528678893,0.9290186381340028,0.0478839536194898,0.0474697256088256,0.0576651420593261,0.0601009254455566
4251,1523,6,32,1.17,0.93,False,True,False,True,2.35927716255188,2.3618305921554565,2.5710556745529174,2.592194693088532,21.127654598059344,21.168712945035946,19.437207615232623,19.252076032123192,0.2752053570747375,0.2603094577789306,0.4869524955749512,0.490259199142456,0.0474260210749297,0.0472395277023315,0.0514477481842041,0.0519424501895904
5677,1718,7,32,0.08,0.85,False,True,False,False,2.341068434715271,2.3296512365341187,2.466285419464111,2.490959365367889,21.37641143303084,21.462445324990885,20.273408578420096,20.072587958765435,0.2481305909156799,0.2323814630508422,0.4059483766555786,0.4119436812400818,0.0468213686943054,0.0465930247306823,0.0493257083892822,0.0498191873073577
4398,721,6,8,0.7,0.72,True,True,False,True,3.110682773590088,3.1185755729675293,3.145146989822388,3.1454898166656493,16.074890480719308,16.03296534899719,15.897508196165974,15.895775561998192,1.0172351121902463,1.0167447328567505,1.0244332194328307,1.0353861021995543,0.0622136554718017,0.0623715114593505,0.0629029397964477,0.0629097963333129
4982,1194,7,32,1.08,0.96,True,False,False,False,2.4271677708625794,2.4608259201049805,2.527637779712677,2.5399593687057496,20.57942089716103,20.31490405594744,19.76322318761388,19.68008725247668,0.3704138028621673,0.411413311958313,0.4943371891975402,0.5316119122505187,0.0486565159252711,0.049224944114685,0.0505990343093872,0.0508127833366394
6842,1837,2,16,1.86,0.78,False,True,True,True,2.3690678310394286,2.3711743354797363,2.5619650959968565,2.587786452770233,21.132677968404337,21.086598000910563,19.516269618266296,19.321532500541466,0.28463827252388,0.2689778804779053,0.4671167373657226,0.4745829081535339,0.0473813566207885,0.0474234867095947,0.0512393019199371,0.0517557290554046
6364,918,8,8,1.4,0.96,False,True,False,False,2.4274145567417147,2.376410722732544,3.157942032814026,3.175010619163513,20.770232731746123,21.03505441169465,15.833096234172135,15.747979645015748,0.34454873919487,0.2582786083221435,1.0301291942596436,1.062842307090759,0.0485683627429216,0.0475396919250488,0.0631588406562805,0.0635002123832702
6136,516,8,16,1.26,0.83,True,False,True,True,2.410808477401733,2.4414939880371094,2.551111805438995,2.5889378023147582,20.69712282125619,20.477754300307755,19.57982185712067,19.29758669804078,0.3026341438293457,0.3412395715713501,0.4272392988204955,0.4808626890182495,0.0483980566104253,0.0488334798812866,0.0510729885101318,0.0518199511528015
5085,1295,7,16,0.59,0.74,True,True,False,True,2.595378291606904,2.599886655807495,2.633283865451813,2.641553928852081,19.267665519797173,19.231612636762264,18.98771380559779,18.92830215186384,0.4525234222412109,0.5114675760269165,0.5268877863883972,0.5352248930931092,0.051907565832138,0.0519977331161499,0.0526656773090362,0.0528310785770416
5728,2031,1,16,0.17,0.98,False,False,True,True,16.630812886935562,2.568954348564148,60.07610079050064,60.09160632371903,15.321938887519837,19.41207411700421,0.8322777167992224,0.8320629667127792,14.559916268533737,0.4677835702896118,58.00840537548065,58.03518296957016,0.3330929624732122,0.0515143704414367,1.2015220158100128,1.2018321264743803
7221,1032,7,32,1.98,0.89,False,True,False,False,2.3541080355644226,2.36689829826355,2.5657058119773866,2.581306538581848,21.1922967683188,21.12057128568681,19.481527848626072,19.329389591111763,0.2868158042430878,0.2739142179489136,0.4660020470619201,0.4735338401794433,0.0472607397450341,0.0473472046852111,0.0513306767940521,0.051734691286087
5517,654,4,16,0.88,0.9,False,True,False,False,26.38610876241379,13.90471601486206,59.96221618652344,59.98696457862854,10.857893795753563,3.595902278518848,0.8338421170947027,0.8334004518145386,18.70018818815784,0.4818370342254638,57.91460556983948,57.94443894386291,0.5299867061613059,0.2780943202972412,1.199267798423767,1.1999033979415892
5860,441,4,32,0.0,0.84,True,False,True,True,24.316662164167923,2.607099294662476,59.946785831451415,59.955082149505614,10.97012976862082,19.17840264172722,0.8340370156277507,0.8339371085604425,21.90141120823947,0.5114023685455322,57.87542071342468,57.905807456970216,0.489413867417868,0.0521419858932495,1.1989875526428222,1.199131193161011
